title,text,rating,parent_asin,sentiment,cluster
Great arm band,Great arm band. My son uses it for running so he can listen to his ipod while running. He loves it.,5,B0042X93BI,positive,2
Great product,"This product is great, it's exactly as described and cheaper than the GoPro-branded alternative",5,B01DKOFZVQ,positive,1
Works great with Windows 7,"My laptop does not have a modem installed. I wanted to add a modem because I needed a FAX. My laptop is running Windows 7 Pro. I purchased this modem, plugged it in, Windows configured the modem hardware (loaded the driver) automatically with no problems. I use it with the FAX driver that comes with Windows. It works just fine, no problems at all.",5,B002GIAUDG,positive,1
Very satisfied. Works as advertised.,This HDMI switcher is quite the pleaser. I really enjoy it and it helped me with some gigs for my Audio/Visual. Great for live events and for the house. You can even link other switchers into this one for more options. I Really enjoy this switcher and remote is great so I can control it from a distance as well.,5,B06XZ7MCHW,positive,1
Outstanding Sound Quality - Not the Easiest to Install,"We recently moved into a new home and when I saw these I decided I wanted to add them to our patio area by the pool. After they arrived and I read over the installation instructions I knew the first thing I had to figure out was how to get power to the speakers where they were to be mounted in the ceiling above the covered patio. This proved more difficult than I initially expected but after I accomplished that the rest of the install went relatively smoothly. After being installed, we have been very impressed with the sound quality. I mounted these directly above my Echo Dot that I have permanently mounted on the patio and paired with these speakers. I’ve had no issue with them unpairing, sound delay, echoing or distortion. These speakers have proven to be an excellent addition to our pool environment and a definite hit during parties. We have had them installed for a couple months now with absolutely no issues and I don’t hesitate to recommend the set.",4,B08RSHZYH7,positive,2
So much fun!,Bought this for my Sister. She have 5 feral cats that visit every need and she feeds them. She is loving this camera. It notifies her when the cats show up outside at 2:30 am in the morning. She gets up and opens cans of cat food and pours cereal for them. She watches them eat and play on her front porch. She said it provides great entertainment. Well worth the money.,5,B08F6GPRH6,positive,1
Affordable high quality sound,100% worth the small investment. Great for the price.,5,B07NXJN1QW,positive,3
What amazing sound coming from a compact speaker!,"Wow, wow, wow, I cant believe how compact this little speaker is and the sound wave coming out it is absolutely and truely amazing. I compared the sound with another portable 2-speaker ipod dock (ihome iH16GX), which also has an amazing sound: they were both about the same. But this little speaker wins it hands down for being so compact. I am looking forward to throwing this speaker into my bag and listening to it at work. I also loved this speaker as it allows me to use my shuffle, nano or classic (which the ihome only allows for the bottom insert to be used) whereas the x-mini uses the earphone port (more universal for the different ipod models). I also like this speaker as it uses the universal USB port to charge the chargeable battery in the speakers. I hope these rechargeable batteries last a long time! I dont think they are replaceable looking at the build of the speaker. For the price,this is a great little speaker and so easy to carry around. I just ordered two more for family members. I noticed the x-mini max is about to be released (two speakers) and ~$30 more expensive, but I think this one is so more fun!",5,B00E57BSMI,positive,2
"Good idea, but it doesn't work!","Don't waste your money. I have extremely fast Wi-Fi and it kept saying that the connection speed was the issue. Bottom line, the product doesn't work and now I am out the money and it is going in the garbage.",1,B01MS1PMML,negative,1
Yeeeeeee,"Good quality, nice bass sound. Exactly what I was looking for, for the price!",5,B0BXT9S5NK,positive,2
Loved shooting portra 800 !,"This film is amazing i have shot two rolls know and both rolls came out great. I especially love it for the colors the film creates. More saturated colors than Kodak's portra 400, with slightly more grain to it. However, my best results are achieved rating this film at ISO 400, no more than ISO 500. Basically, use this film as a portra 400 with higher color saturation. Does not take well to being underexposed. Please click below vote if you found my review helpful so I can improve them to help others like you.",4,B0008JHGAA,positive,3
Get these,These are so good for this price. I put in the small covers and they stay put in my ears even when I’m jumping and doing push-ups and yoga. So glad I got them.,5,B08J83TR22,positive,2
Is this used?,I bought 2 of the Amazon fire boxes . I opened 1 and placed on my main TV. I realized when browsing through my photos (which I have taken none) that a few black photos on already and a video. Started watching a video and heard a young boy saying &#34; can you see me&#34; freaked me out and shut off without listening to rest of video. It says video produced in February 2016. This product is new,2,B00U3FPN4U,negative,1
Almost a 5-star keyboard,"This recent purchase is a backup keyboard and I'm not using it yet because the coffee I spilled did not affect the performance of the old keyboard. The keyboard in the picture has been in use since January of 2017. The fact that I purchased a 2nd one in case the original stops working tells you how much I like using it. Pros: the ergonomic layout is better than most split keyboards; it is super quiet--I interview people on the telephone and type while they are speaking--with my former keyboard, people would ask what all the noise was and could I hear them okay--this keyboard eliminates that distraction completely; battery life is long. Cons: several letters have disappeared (E, R, T, S, D, F, C and most of the G and N) so it is a good thing that I'm a ""touch typist"" and don't need to look at the keyboard much; I don't have small hands but it is a bit tough to reach the & key while pressing the shift key; the wrist rest shows a lot of wear after a short time. Overall, I recommend the keyboard if you are looking for a quiet and ergonomic keyboard.",4,B00CYX26BC,positive,0
These props are proper.,"[[VIDEOID:e79c31d23d8d56c949563e1c53547442]] If You CAN, do it with these, then it just took, what You did, to the next level! Neville. I recommend my friend. Thank You for reading my review. I hope it is helpful for You. If so, You can check the helpful box below, it will help me review some More. God bless You. May the rest of your life be the best of your life. O DEE",5,B09T77LS44,positive,3
Perfect,Fits perfect. Makes it easier to hold the remote,5,B07HMLRWXH,positive,0
One Star,Not much usefulness to this keyboard.,1,B00CJKW4WQ,negative,0
You pay for quality.,"So far these earphones are Superior in sound. Comfortable to wear. Have a apple Airpod and cost less but sound was nothing like these. Airpod lasted exactly one year, and the sound volume is problematic.",5,B074F3YW3R,positive,2
Stack of 30 floppies .. could read none,"Must of got a bad unit, could not read any of the 30 floppies I tried. Just gave the same error over and over .. Unable to read media ? I even tried just formatting a NEW floppy and it couldn't do this either. Sending back for refund .. will try another brand",1,B00RXEWOAA,negative,1
Strong,Great product for the price. easily mounted and strong,5,B083TH1B45,positive,3
"Good concept, needs work",Kind of difficult to use on a large phone. My hazard button is under my CD player so it keeps turning it on.,2,B07MTMVZMK,negative,0
beautiful screen,"Beautiful screen, smart tv. side is amazing. Definitely worth connecting to the internet. I compared this tv to some other name brands and am glad I went with this option",5,B00BFQHGUU,positive,1
"Its just OK, there are better","I understand the need to have a dedicated media player at times. However, much like others I have used, this uses a very barebones UI that is laggy and feels very outdated compared to a smart device. The font has hard lines that are sometimes hard to read, and occasionally you'll even meet elements of the UI that have parts written in Chinese characters. And the video playback option is a joke- you can only play videos in a specific codec that is archaic and unreliable (and needs a bizarre app to encode to). It has an Fm tuner which is nice, and the size is super portable and cute. And honestly, this would be a decent device if I didn't know that for around the same price you can get much more polished media players powered by a modified smartphone OS. For example, another media player that I recently tried actually had a linux/Android kernel running under the hood, but stripped of all the smartphone parts. It supported video playback of modern formats, had more more pleasing fonts and a UI that was fast and responsive. I mean, in this day and age, unless this were half the price, there's no excuse for a UI to feel so far behind.",3,B098JJ1B33,neutral,1
Good Earbuds,Good sound and good design.,5,B08RTN8KZC,positive,2
Looks nice,This is a nice looking stereo. Wish I had this in my old car that didn’t have its own screen Seems nice overall. I like the CarPlay integration as well as car play is great if it works well If you’re not sure how to install it then call a professional. Car audio can be hard and you need specific harnesses so certain vehicles. I didn’t install this but it was nice looking from my unboxing Overall I think it’s nice and looks good,5,B0BRRTVZDV,positive,2
Awesome,Love everything about it,5,B07GZFM1ZM,positive,3
Five Stars,Strong and sturdy,5,B078N1F14R,positive,3
Broke after 70 Days,"Well, it was good while it lasted, but my device broke after only 70 days.",1,B0BGF55FBV,negative,1
Good for light work,"Given the price, I thought this was going to be a lot faster and a lot longer lasting in terms of new software. Really lackluster. Way to “air”",1,B07V1PHM66,negative,1
Nice,[[VIDEOID:62c042407170071c541d8cb2c4aa5ed2]] Nice headphones. They seem to be exactly as expected. The nice thing about these is that they don’t sit in your ear but just outside it. This makes it nice that you can still hear things around you. This is a nice safety feature at night. Overall I like these and think they work well,5,B0B31M3J7V,positive,2
Good buy.,Great machine for using in mass duplication a few times a quarter. Probably takes longer than the more expensive versions but for me it's very fast.,5,B08Y9YGLQZ,positive,3
Great!,Works super well with my Canon 80D and MXL XLR microphones,5,B07H2TN4LJ,positive,2
Just what I needed,This weighted base for my Garmin is exactly what I needed. The suction cup style base that came with the product was no longer as suction-y as it used to be and would randomly fall down while I was driving. This product sits on top of my dash and doesn't move - perfect.,5,B01I4TE612,positive,3
Cool camera,[[VIDEOID:24d5b5c4043d1bce238c71cb2f70130f]] Nice camera ! It’s cool how light it is. It’s not my dads camcorder from 1995 - this is a miniature and well styled version of it. It’s light and easy to hold. The remote is cool too if you’re blogging or want to record yourself and take a video. It comes well packaged and arrive safe.,5,B09WDBKR8M,positive,3
THIS PRODUCT IS AMAZING it will help you format to NTFS,"This product is accurate because your hard-drive will not turn on without this because this contains a power adapter and a usb to connect to computer to help it recognize and format when it shows ""no media"" this will automatically detect and boom, erase, re-format to ntfs and DONE! THANK YOU! No other product works except for this one and others similar to this, ITS IMPORTANT TO HAVE A POWER ADAPTER and this did the JOB! 100% RECOMMENDED THANK YOU!",5,B09YXNFG22,positive,1
Perfect,Bought this for a 5TB portable external hard drive. The cable that came with it had issues with transferring data. This cable works great.,5,B09NR7BPJZ,positive,4
"Purchased in July, failed by November","Defective after only 4 months. Pathetic, I have power supplies from laptops from the 80s still working.",1,B01IXB59WG,negative,4
Best wireless Bluetooth speaker!!!,Best wireless Bluetooth speaker and noise canceling features for a good price. It connects easily with my iPhone. It has a good base to jam with and it snugs well around the ear.,5,B07NK8G2HH,positive,2
Well designed and works beautifully,"Product arrived on time as advertised. Finished radio worked very well and had reasonable selectivity. Sound quality and volume were much better than you would expect from a small self assembled radio kit. I highly recommend this kit, but I must add that the instructions though adequate are difficult to follow for an electronic assembly novice. All the information you need to successfully assemble a nice working AM radio are present, but inexperienced people will most likely need adult assistance.",5,B00LXK26QW,positive,2
Great!,I'd already bought the memory foam tips for my pods but they were still ornery and still slipping a bit after a lot of usage (zoom zoom). These are a little uncomfortable at first and confuse me every time but it's still early days... BUT THE PODS STAY IN MY EARS..,5,B08D8PC712,positive,2
Good choice for a first tablet,"Although I've been mucking around on a computer for many years now, this was my first venture into the tablet venue. I wasn't really sure what to buy. Do I go all out, buy a larger one with all the bells & whistles for the price of a base model laptop? Or do I stick with something simple & inexpensive? I decided to go with the Samsung Galaxy Tab 2. The price was a definite consideration, I liked that it was under $200. I preferred to stick with name brand, as I've had too many friends who went with an inexpensive brand that broke within a few months. The size seemed sufficient for me to play some of the fun apps & keep notes for school. It's been around 6 months since I first bought the tablet, and I'm overall pleased with it. I do wish it had two things. More storage, because the OS takes up a great deal of space. In hindsight, I would have paid more to have 16GB rather than 8. Also, I wish the charging port was a micro USB instead of 30 pin data port. My husband's Samsung Note has the micro USB and so does my daughter's Nexus 7. It would be really nice to be able to use other charging cords like they do (my husband can use his phone charger) than having to make sure I don't EVER misplace this one. But for a simple tablet from a trusted brand, I do think the Samsung Galaxy Tab 2 is a good choice.",4,B00BPO9HOA,positive,0
Hate it! Thought this would be a good all ...,Hate it! Thought this would be a good all in one...half the time it does not work! Have to shut off start over several times! After a year...will not power on at all!,1,B004PXR50Q,negative,1
Works perfectly!,Lost my remote to my Element TV while moving. Purchased this one and it worked right out of the package. Happy to recommend and would purchase again.,5,B08232DD7X,positive,1
"Great Buy, Fast Shipping","I have a charger for the handheld tablet for my restaurant and needed sturdy shorter cables to make sure they are plugged in and charged, we are 2 weeks in and they are not destroyed by my staff. Go for it, you will love them",5,B07RL3F6TR,positive,4
Fantastic Wireless Keyboard,"I bought this for my work computer because I wasn’t a fan of the wireless Logitech one supplied by my office, which was too small and noisy, and used batteries. This keyboard, however, is perfect! I was looking for a rechargeable option that wasn’t dependent on batteries. When I first got this keyboard, I thought I’d have to charge it either right away or the next day. Well, it’s been at least two months and I haven’t had to charge it for even the first time yet! It connects instantly, has an automatic sleep function, is accurate, and quiet. If you are looking for a fantastic wireless keyboard without batteries, look no further!",5,B07ZRW32T7,positive,0
Decent but a newer version has been released,"I would imagine that the newer version addresses some of the issues that this modem is having. Had I known that a newer version was available, I would not have gotten this one. I am sure that others who require a modem will do quite well with it.",3,B00QGOQ2BA,neutral,1
"love that the case is small, portable and charges the earphones!!!!",my son initially wasn't impressed when I said I got him some wireless earphones expecting them to be just like every other pair I'd gotten him that he managed to lose one or the other headphone because he'd charged them and then set them somewhere. These charge right in the case so when he's done wearing them he puts them in the case every time … and just like that - no more lost earphones. Really love that the case is so small and portable so he takes it everywhere with him and never just puts a lose headphone in his pocket. The sound quality is very good - or good enough for our untrained musical ears. and battery life is more than sufficient for our needs.,5,B07TQ952DH,positive,2
Decent but maybe not the most sturdy,Decent for the price. There’s not a whole lot of stability but luckily mine stay in the same place and aren’t taken down regularly.,5,B0BSFFPRFQ,positive,3
Does not fit every model Fire TV,"I have tried these in several rooms which have a variety of different Fire TV Models. One works fine, two do not. Do not recommend.",1,B0C6M8ZKR6,negative,1
"Super convenient;  super sound!  But, it has its issues","Aside from cutting out frequently, I absolutely love this gadget! This is so convenient when I want to hear my music on the lower level or upper level of the Tri-level home. I just lift it from the base and I feel as if my computer Itunes is with me wherever I go. But, as I said, it does have its inconvenient moments. I stream Pandora from the Iphone. Works very good, but I have not had enough experience. I prefer to play through Itunes library. And the sound is excellent. The sound permeates, and it is not as if you hear it from one corner of the room, so yes, the sound range is very good. The speaker feature is SoundRing technology. That is a very plus feature to me. Convenience is the key here, as I take it outside for company or just working around the yard. Carry it to the bathroom for all your music while you bathe. The design is catchy, attractive and lightweight. The speaker controls are on the ring in case you are not near the computer. This was a very easy set-up, and yes, it is convenient, compact and wireless. It operates cord and cordless, and has an aux-in jack where I can plug my MP3 and you can also connect to stereo components. This is a treat!! .....Rizzo",4,B005HY4UIW,positive,2
"Tiny, but mighty","This USB flash drive is tiny, but mighty. It has a lot of storage space at 128GB, however based on the size you would never guess it. There is a loop on it so you can hook right onto your keychain. Added bonus: it’s waterproof and shockproof!",5,B0998X1F7G,positive,0
Nice colors,"Colors are very nice and what attracted me to pick these chargers over the 10,000 others on Amazon. The extra rubber around the connecting is nice as well for extra durability",5,B0BNL5X81N,positive,4
Looks sharp and has tons of pockets.,This backpack looks sharp and has a ton of pockets to organize all your gear. I really like the rubberized bottom. Too many times I’ve set my bag down and later realized the floor/ground was wet. Plus it’s a bit more protection.,4,B077CMJVRZ,positive,0
Used it till the last day!,Loved the design and used it until it worn out. I still kept it as part of my decor.,5,B00CU603OA,positive,3
... received my case earlier than expected and really am happy with it,I received my case earlier than expected and really am happy with it. It's quality is very nice and the color is fun.,5,B00LFBJH20,positive,0
Good buy,Perfect for child’s tablet. Very durable.,5,B076M4PW4H,positive,0
Good sound,"The sound and comfort are great, however, the controls did not las at all.",4,B09V8C4J5D,positive,2
"Works, but...","Works as intended (as a no-frills power strip for two-prong outlets), but the 5-foot cord really is too short. They should have made it 6 feet long, as is pretty much standard with 3-prong power strips.",3,B06Y617M27,neutral,4
Its cheap monitor,I really just use it for work. It does the job but I feel like I can easily break it. Mounting was a bit hassle as it has spot for the holder that sticks out which gets in the way of mounting on flat plate.,3,B0B2K24RQT,neutral,3
Truly plug and play for me!,"With more and more devices coming out that do not have a DVD drive, this is a must. It was simple to use. I plugged it in; my computer recognized it, and I was using immediately. This is very uncommon for me so I was delighted!",5,B005KQ0S8S,positive,1
"You pay return shipping, almost same cost as product.","Product is adequate, but nothing special. Worst thing is that I ordered in error, and you have to pay for return shipping. The cost is almost as much as the product !",3,B076HFYGLR,neutral,3
It’s a cheap slider and it shows,"This slider is the cheapest priced motorized slider I’ve come across. The slider construction is sturdy and lightweight. The remote is made of cheap plastic with software that is very poor making it somewhat difficult to set accurately. More importantly, the battery that controls the motor quickly dies and the timer controls introduces considerable drift between camera shutter and the movement of the platform. This makes it impossible to use for any meaningful time-lapse photography. The build quality and poor remote and software just doesn’t inspire confidence that this unit can do anything but basic video work, let alone Timelapse. It could be useful for video b roll, but the motor and belt is quite noisy at all speeds so audio recording may be affected in a quite environment such as a studio.",3,B07QG2JZ7M,neutral,1
Not worth the cheap price,I bought this to hold either my husbands phone or the Garmin. Neither one fit properly and I am not sure what fits in this thing. The phone lays too flat to see it when you are driving and the Garmin just will not fit.,1,B01N9KD2R5,negative,0
Quality,"Unfortunately I have to return this item, screen is not clear, freezes This item was returned and it was supposed to be exchanged with a voucher. Please note that the voucher come, since I have to attend some personal business overseas, I can recall if the voucher was canceled by Asurion or if I used to purchase other tablet. Can you please advise.",4,B01MDUH6HX,positive,1
Wonderful love it!!!,Beautiful colors are bright. Case is very sturdy an well made. Works perfect,5,B01KLOUS4C,positive,0
Battery life ridiculous,"First off, this watch was advertised in excellent condition, which to me, means like new condition. This was FAR from that. There were scratches along the edges, which weren’t terrible for a watch that would have been classified as “good” condition. That was not the deal breaker though. The battery only lasted from 7am when I took it off the charger, until about 5:15pm. Now, I’m no Apple Watch know-it-all, but my series 2 battery, which has never been replaced, lasts way longer than that!!! I’ve sent it back. Hopefully, I get a quick refund to make a new purchase soon. Very disappointing… when it says excellent condition, I expect nothing less.",1,B07Q5C4R5C,negative,0
Two Stars,Description says crystal clear but has a matt finish.,2,B06X3RK3CP,negative,3
The solution I needed,"I have gone through a few mounts for my Samsung Tab 3 10.1, only to be disappointed each time. My main use was to mount to a microphone stand, but none - including the [[ASIN:B00BMUARHI Gator GFW-UTL-TBLTMNT Microphone Stand Tablet Mount]] - would hold it securely when in a case. In fact, the Gator did not fit it at all, which was the catalyst for me to give up and seek another solution. This mount works perfectly. True, I had to settle for a camera tripod, but even that turned out for the better because tripods are inherently more stable than microphone stands, and also with pan heads allow me a lot more flexibility in placement and viewing angle. What I really love is this mount will work with the two cases I use with my Tab 3: a [[ASIN:B00LIQJ1DW Samsung Galaxy Tab3 10.1-Inch Case Cover]] (my favorite and one the Gator case absolutely would not accommodate) and a [[ASIN:B00E8C8NCI Fintie Folio Slim Leather Case]], that did allow me to use with the Gator mount, but the fit was so tenuous that I never trusted it. Much to my surprise this mount also securely holds my [[ASIN:B00GJ3MF9Q Verizon Ellipsis 7 4G LTE Tablet, Black 7-Inch]] tablet, so if I need to use that too, this mount will fit it. I am so happy with this mount that I am purchasing a spare. As an FYI, it also holds my iPad 2, so it's truly versatile. Plus it beats any microphone stand mount that I have tried, and I have checked out a half dozen of those.",5,B00PXC5HU8,positive,0
Great Company,"Purchased Square Trade warranties before but this is the first time filing a claim. My Instant Pot has been malfunctioning for a while, finally filed a claim. Received a substantial monetary reimbursement and told to keep the damaged item. Quick and easy process and sooooo worth the few dollars spent for the coverage.",5,B003V5B726,positive,3
Not well-made for Sony cameras,"This mount is missing a pin that keeps Sony Action cameras from spinning when tightened onto the mount. As a result, when I took my action cam surfing for the first time, it unscrewed from the mount and thankfully was saved by the leash attached to my board. The Sony official surf mount has this pin that keeps the camera from rotating, and thus doesn't have this problem.",2,B00VAX8EEA,negative,1
Very long,"I bought this for my husband's man cave. I have no idea why, but there's only one available outlet and it's across the room. He needed a way to charge his phone and this is the perfect solution. The cord is a whopping 20 ft long. It easily reaches the outlet so now he can charge his phone from the couch. It's also very sturdy because it has a durable braided coating.",5,B09RZDNN93,positive,4
and I think this is probably my favorite. It is simple to use and faster than ...,"I've owned about 3 Kindles, and I think this is probably my favorite. It is simple to use and faster than the kindle keyboard or the fire. I really just wanted something to be able to read ebooks on, and this Kindle was perfect for that. I love the touch screen and how responsive it is. The battery life is amazing as well. It truly is a glare-free screen, so I can read anywhere. I think the only thing I miss on this Kindle is a headphone port for audiobooks or text to speech, but because books can sync across devices, for the times that I want to listen to a book I just use my phone instead of the Kindle. This is a really lightweight device that isn't super fragile, so it is easy to take it places (like waiting rooms) and not worry about it getting broken in my bag on the way there. It doesn't require as much protective gear as a tablet either, which makes it more cost effective in supplies and power consumption.",5,B00LWHUBPO,positive,0
Good quality iPhone charger,I’m so happy to get a long charger till I don’t know what to do! For the cost this 10 foot charger is strong and durable.,5,B07Y84Q48K,positive,4
Garbage poorly made,"Within 15 minutes of attaching the tune talk, while trying to adjust the gain the little plastic widget fell right out of the tune talk thingy. I can't comment on the use of the product since I promptly took it back for a refund. It is so shoddily made that while it might be a great product WHEN it works, I wouldn't spend $60 on something that fell apart in jsut 15 minutes. I am a 45 year old woman, not rough on electronics, so I can only imagine what a student would do to this thing.",1,B00XJDAXNY,negative,1
Great,We bought two of these for bird watching & constellation viewing. They were great for both! Our kids use them often and so do the adults!,5,B06XT7M6P5,positive,3
Works as expected,"The touchscreen is great. It’s easy to type and very responsive. I was getting tired of having to always use my phone to navigate, especially now that my kids wants it from the backseat to play games. This works great right out of the box and had no issues navigating to different spots.",5,B09Y96GMTZ,positive,0
Problem after a week,Bought this tv for my mom and the sound went out after a week. Returned it for an LG... Problem fixed,3,B0071O4ETQ,neutral,1
Must buy Now! Don't wait! Join me in binge watching,"This is something I should have purchased so long ago I could just kick myself in the butt if I could! Omg so very easy to use! I have zero technical skills and usually rely on other people to assist me but this was SUPER easy! Instant happiness as I plugged in the stick in the back of my TV, plugged a cord in the wall and wam! Instant gratification! I had a beautiful little remote that literally guides me through all my options! I am able to watch my Netflix and Amazon and a crap ton of other things that I have not explored yet! This is your answer if your paying crazy amounts of money for cable or dish service! This is a dream come true! Happiness! Except that I have gained a few pounds from being a couch potato due to binge watching!!! Well worth the money! Highly recommend!",5,B075X8471B,positive,1
Can't Even Hold An iPhone 8,Magnet isn't strong enough to hold smaller iPhones. Not worth the money.,1,B0873727DF,negative,0
... hook it up to my computer which makes it useless for,came with outdated software so I can't even hook it up to my computer which makes it useless for me,2,B005HGILP8,negative,1
"solar charge actually works, good assortment of features,","[[VIDEOID:17a58332b933800fe99b76e58398768d]] We have a few of these emergency radios. I am the main prepper in the household, but even my husband bought one at random recently. He showed me his, then I showed him mine. Then I got this one to add to the collection. Different brands, all very similar. The one feature that STANDS OUT to me on this FORTECLEAR is that there is a light that indicates that it is being charged. I can see it glow brighter when using the hand crank, as well as when I have it sitting in a ray of sunshine. If in the sun with the light glowing, once I cover the solar panel with my hand, the indicator turns off. Really nice to see that working. Like others, there is also an indicator that shows about what percent of power is has (25%, 50%, 75%, 100%) which will light up when it is being actively used. Really nice to be able to see this important info. For that I recommend this as an emergency item (or even casual use, why not?) Has typical features such as flashlight (low beam, high beam, and flashing), has a flip up ""reading"" light, and radio bands such as alert, WB, FM, and AM. Nice long antennae, knob tuning, knob volume control. USB port, USB C port, comes with a cord & instructions, wrist strap, has SOS alarm- which requires pressing for a couple of seconds to activate, SO much better than another where I have accidentally triggered it by a simple short press. Scared myself. LOL. SO LOUD. When looking for weather band, you may need to walk around to get a signal. I find this true of all emergency radios, or any radio with WB/NOLA option. As with most all other radios, FM comes in the best, the easiest. I am a big fan of having multiple options for lighting- whether it be solar, battery operated, internal battery that can be charged, etc. This has the ability to be charged, to be hand cranked, and to be solar charged. Nice to have a few options in one device. I also keep regular flashlights, rechargeable flashlights, battery powered radios, etc on hand. Multiple options for when it is needed. But this will be one I will rely on. I would get it again, and I would get this for someone else. I tend to give functional gifts, stuff that most folks dont want to buy for themselves (preps, fire extinguishers, smoke alarms, car care kits, etc), and this would be a good one to give. Really pleased that it works so well because it happens to be a few bucks more than most options out there. I will continue to play around with this. If I think of anything else, or experience anything else (good or bad) I will be sure to come back to update. So far so good!",5,B0C713LXCG,positive,1
Nice dash cam,My old dash cam was broken so I got this new one. It is very easy to set up and the quality is great! The price is reasonable. Good product!,4,B07JW2DM4C,positive,1
tech that workds,It works. I used in a dash cam to record longer loops and more of them. Essential for high temp environments.,5,B00YLM3WB2,positive,1
So easy to use.,"My radio in my car bit the dust so I ordered this to keep me awake on my trips to see my grandkids. Love the FM radio. The sound depends on your earbuds--good earbuds great sound, cheap earbuds good sound. It's not stereo, though.",5,B0B3XBKXGQ,positive,2
Hard to see dial. No back light,"I primarily wanted a small radio to listen to AM at night and this one turned out to be a challenge because there's no backlight on the Tuning dial. It's impossible to read the dial. You can't tell which mode you're in ( AM, FM or Weather) because the writing is tiny. Fortunately I tend to stay on one station most of the time because I listen to &#34; Coast to Coast&#34; on AM8.70. & I have mastered the Power Key & lock switches in the dark. Reception is good and I use Sony headphones. With off brand headphones, not so good. This radio is probably OK if you're using it when it's light but not in the dark. Print on keys wears off quickly, less than 1 year use.",3,B00140DBRY,neutral,2
Loving it so far,"Love everything about this mouse, so glad I tried it!",5,B085H9ZQLJ,positive,0
great value,Had to trim some of the wrapping off otherwise it would not fit in the phone even though it was the correct model. Seems to be holding a charge well so far. Pleased with the value.,5,B017GGEP56,positive,4
Sturdy and safe!,This is a four plug in cord and the nest thing about it is the plug is FLAT. So you can place it behind a bookshelf or bed with very little clearance. The entire strip can be turned off/on by a red switch on the strip. It illuminates when on.,5,B09KG9153N,positive,4
Good Buy.!,Loved it. Works as advertised!,5,B07N1FCHN9,positive,3
Works great for basic computing needs.,"I ordered the 'Mini Pc T4 Intel Atom x5-Z8500 4G DDR4/64G EMMC 4 Processor Desktop Computer Up to 2.24GHz with BT-4.0,Ethernet,2.4G/5G Wi-Fi,4K Video,Support HDMI/DP Dual Display Output' for review and I would like to share my thoughts. I needed a basic PC to connect to my TV to improve the ""smart TV"" capabilities. I have an older TV that does not receive updates and only has a limited amount of Smart channels. This has remedied that issue and I am impressed at just how capable this actually is. I am able to connect a wireless mouse and keyboard which I keep by my bedside and use this Mini PC to watch videos, surf the web and even play some simple games. It does take a bit to boot up but not too long. This is to be expected and it does not bother me. You just have to realize at this price point, you are not going to get a super speedy PC. Overall I am happy with this compact budget PC and it works quite well for my needs.",4,B0899JKPRD,positive,1
"Absolutely Beautiful Fan, but...","I love the elegant design of this fan. The only thing that holds this back from being a perfect fan is the unfortunate use of plastic for the wood grain parts. That takes away the richness of the fan. It would have been so much better, so much classier had they used real wood. In fact, I think I'll be fashioning wood replacement parts to make it what it could have been. The fan is very quiet. On low, it is nearly silent, on high it is not very loud at all. Easily the quietest fan I have ever owned. The touch controls on the fan are good and work with a simple brush. The blades are soft when you brush them accidentally. I so wish they had gone with real wood, this is a beautiful and functional fan.",4,B07Q1DPGWM,positive,3
Great projector for the money,"We just got it today and couldn't wait to try it out. It does not connect straight to an android phone. I had to connect the Chromecast to the projector, but from there it was a breeze to get the movie playing. Great picture! I'm very satisfied with the purchase. Can't wait to have movie night outside!",5,B082F13J55,positive,1
Good size for my camera.,I love these cards for my camera. The 32 GB are just the right size for me to use in my Nikon D5300 . I've tried the 64 GB but then I just put too many pictures on the card and it becomes cumbersome to use with the camera - smartphone connection Nikon has. This memory card is fast and reliable. No issues.,5,B006MUMLK4,positive,1
Great Picture and Nice Sound,"I bought the TV during Prime Days and picked up at Best Buy. The only thing I dislike is that the TV automatically shuts off when You pause a movie after only 15 minutes. When you turn the TV back on you are back on the home screen again and have to go back to the app such as Netflix and find the show you were watching and resume play. I went through ALL the setting to try and change it. This is not in the display or sleep settings. I called Insignia tech support and the lady I spoke with said that it is build into the TV to shut down if paused to save energy. ??? Why after only 15 minutes? Sometimes I get a phone call and it's an inconvenience to have the TV shut down. Other than that, I love the TV.",4,B08CVTKRJG,positive,1
zeskit 12' great solution,"exactly as expected, excellent quality",5,B08TTT6F56,positive,3
Eh...,Stopped working after just a couple of days,1,B0C4SPHWYC,negative,1
Plug does what it should powers the tv.,It’s a plug for the tv since we lost ours. It does it’s job. No real review to leave.,5,B07JPG6C8V,positive,4
Five Stars,Well built and gets the job done.,5,B00XIM99GI,positive,3
A must if you have kids!,"This is a wonderful case if you have little kids who love your IPad! I received this for a discount in exchange for an honest review. This case is amazing! I have 6 kids and 4 nephews that all love to play and drop my iPad! I put this on and it is just as good as the otterbox,but a fraction of the price! I just bought a new iPad and I am buying another for that one! You can tell this is durable and my kids have dropped my iPad with it on and it was still working great! I just paid 700 dollars for my new iPad and I trust this will keep it safe! It is a great high quality product and I highly recommend! I would buy a screen protector,because this didn't come with one. I love that it has a stand so the little ones can watch movies together!",5,B00WH7ZOVO,positive,0
Did not work returned.,Returned...App did not work.,1,B07JN58KPR,negative,1
Perfect for Bose QC ii,Not a bad aftermarket case. A little on the big side but still manageable for traveling I'd say. All in all I would recommend... no issues so far.,5,B0BW7DFJL2,positive,0
